cross	sample	source_code	run_accession	fastq_ftp_end1	fastq_ftp_end2
HB3xDD2	PG0017-C	QC01	ERR019050	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019050/ERR019050_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019050/ERR019050_2.fastq.gz
HB3xDD2	PG0018-C	B4R3	ERR019042	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019042/ERR019042_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019042/ERR019042_2.fastq.gz
HB3xDD2	PG0019-C	SC05	ERR019051	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019051/ERR019051_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019051/ERR019051_2.fastq.gz
HB3xDD2	PG0020-C	TC08	ERR019052	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019052/ERR019052_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019052/ERR019052_2.fastq.gz
HB3xDD2	PG0021-C	GC03	ERR015447	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015447/ERR015447_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015447/ERR015447_2.fastq.gz
HB3xDD2	PG0024-C	3BD5	ERR019053	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019053/ERR019053_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019053/ERR019053_2.fastq.gz
HB3xDD2	PG0027-C	TC05	ERR015450	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015450/ERR015450_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015450/ERR015450_2.fastq.gz
HB3xDD2	PG0030-C	7C188	ERR019046	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019046/ERR019046_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019046/ERR019046_2.fastq.gz
HB3xDD2	PG0031-C	7C408	ERR015458	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015458/ERR015458_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015458/ERR015458_2.fastq.gz
HB3xDD2	PG0034-C	7C3	ERR019047	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019047/ERR019047_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019047/ERR019047_2.fastq.gz
HB3xDD2	PG0037-C	7C20	ERR015451	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015451/ERR015451_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015451/ERR015451_2.fastq.gz
HB3xDD2	PG0038-C	7C111	ERR015457	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015457/ERR015457_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015457/ERR015457_2.fastq.gz
HB3xDD2	PG0039-C	7C140	ERR015454	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015454/ERR015454_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015454/ERR015454_2.fastq.gz
HB3xDD2	PG0040-Cx	7C159	ERR107475	ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/ERR107475/ERR107475_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/ERR107475/ERR107475_2.fastq.gz
HB3xDD2	PG0041-C	7C170	ERR015446	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015446/ERR015446_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015446/ERR015446_2.fastq.gz
HB3xDD2	PG0042-C	7C183	ERR015448	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015448/ERR015448_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015448/ERR015448_2.fastq.gz
HB3xDD2	PG0043-C	7C421	ERR015459	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015459/ERR015459_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015459/ERR015459_2.fastq.gz
HB3xDD2	PG0044-C	7C424	ERR019043	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019043/ERR019043_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019043/ERR019043_2.fastq.gz
HB3xDD2	PG0045-C	QC23	ERR012892	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012892/ERR012892_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR012/ERR012892/ERR012892_2.fastq.gz
HB3xDD2	PG0046-Cx	7C46	ERR107476	ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/ERR107476/ERR107476_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR107/ERR107476/ERR107476_2.fastq.gz
HB3xDD2	PG0047-C	7C126	ERR015452	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015452/ERR015452_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR015/ERR015452/ERR015452_2.fastq.gz
HB3xDD2	PG0048-C	7C7	ERR019049	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019049/ERR019049_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019049/ERR019049_2.fastq.gz
7G8xGB4	PG0077-C	JC3	ERR027112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR027/ERR027112/ERR027112_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR027/ERR027112/ERR027112_2.fastq.gz
7G8xGB4	PG0077-CW	JC3	ERR045636	ftp.sra.ebi.ac.uk/vol1/fastq/ERR045/ERR045636/ERR045636_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR045/ERR045636/ERR045636_2.fastq.gz
7G8xGB4	PG0078-C	QF5	ERR029092	ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029092/ERR029092_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029092/ERR029092_2.fastq.gz
